,premise,hypothesis,label,premise_fr,hypothesis_fr
0,A person on a horse jumps over a broken down airplane.,A person is training his horse for a competition.,1,Une personne sur un cheval saute au-dessus d'un avion démantelé.,Une personne entraîne son cheval pour un concours.
1,A person on a horse jumps over a broken down airplane.,"A person is at a diner, ordering an omelette.",2,Une personne sur un cheval saute au-dessus d'un avion démantelé.,"Une personne est à un diner, commande une omelette."
2,A person on a horse jumps over a broken down airplane.,"A person is outdoors, on a horse.",0,Une personne sur un cheval saute au-dessus d'un avion démantelé.,"Une personne est à l'extérieur, sur un cheval."
3,Children smiling and waving at camera,They are smiling at their parents,1,Enfants souriants et waving à huis clos,Ils sourient à leurs parents
4,Children smiling and waving at camera,There are children present,0,Enfants souriants et waving à huis clos,Les enfants sont présents
5,Children smiling and waving at camera,The kids are frowning,2,Enfants souriants et waving à huis clos,Les enfants sont enfoncés
6,A boy is jumping on skateboard in the middle of a red bridge.,The boy skates down the sidewalk.,2,Un garçon saute sur skateboard au milieu d'un pont rouge.,Le garçon roule sur le trottoir.
7,A boy is jumping on skateboard in the middle of a red bridge.,The boy does a skateboarding trick.,0,Un garçon saute sur skateboard au milieu d'un pont rouge.,Le garçon fait un truc de skateboarding.
8,A boy is jumping on skateboard in the middle of a red bridge.,The boy is wearing safety equipment.,1,Un garçon saute sur skateboard au milieu d'un pont rouge.,Le garçon porte de l'équipement de sécurité.
9,An older man sits with his orange juice at a small table in a coffee shop while employees in bright colored shirts smile in the background.,An older man drinks his juice as he waits for his daughter to get off work.,1,"Un homme plus âgé s'asseoira avec son jus d'orange à une petite table dans un café, tandis que les employés en châssis de couleur",Un homme plus âgé boire son jus alors qu'il attend de sa fille qu'elle quitte le travail.
10,An older man sits with his orange juice at a small table in a coffee shop while employees in bright colored shirts smile in the background.,A boy flips a burger.,2,"Un homme plus âgé s'asseoira avec son jus d'orange à une petite table dans un café, tandis que les employés en châssis de couleur",Un garçon flipe un hamburger.
11,An older man sits with his orange juice at a small table in a coffee shop while employees in bright colored shirts smile in the background.,An elderly man sits in a small shop.,1,"Un homme plus âgé s'asseoira avec son jus d'orange à une petite table dans un café, tandis que les employés en châssis de couleur",Un homme âgé se trouve dans une petite boutique.
12,Two blond women are hugging one another.,Some women are hugging on vacation.,1,Deux femmes blondes s'encouragent mutuellement.,Certaines femmes se blessent en vacances.
13,Two blond women are hugging one another.,The women are sleeping.,2,Deux femmes blondes s'encouragent mutuellement.,Les femmes dorment.
14,Two blond women are hugging one another.,There are women showing affection.,0,Deux femmes blondes s'encouragent mutuellement.,Il y a des femmes qui font preuve d'affection.
15,"A few people in a restaurant setting, one of them is drinking orange juice.",The people are eating omelettes.,1,"Quelques personnes dans un restaurant, l'une d'entre elles est de boire du jus d'orange.",Les gens mangent des omelettes.
16,"A few people in a restaurant setting, one of them is drinking orange juice.",The people are sitting at desks in school.,2,"Quelques personnes dans un restaurant, l'une d'entre elles est de boire du jus d'orange.",Les gens se trouvent à des bureaux à l'école.
17,"A few people in a restaurant setting, one of them is drinking orange juice.",The diners are at a restaurant.,0,"Quelques personnes dans un restaurant, l'une d'entre elles est de boire du jus d'orange.",Les diners se trouvent dans un restaurant.
18,An older man is drinking orange juice at a restaurant.,A man is drinking juice.,0,Un homme plus âgé boire du jus d'orange dans un restaurant.,Un homme boire du jus.
19,An older man is drinking orange juice at a restaurant.,Two women are at a restaurant drinking wine.,2,Un homme plus âgé boire du jus d'orange dans un restaurant.,Deux femmes se trouvent dans un restaurant qui boire du vin.
20,An older man is drinking orange juice at a restaurant.,A man in a restaurant is waiting for his meal to arrive.,1,Un homme plus âgé boire du jus d'orange dans un restaurant.,Un homme dans un restaurant attend son repas pour arriver.
21,"A man with blond-hair, and a brown shirt drinking out of a public water fountain.",A blond man getting a drink of water from a fountain in the park.,1,Un homme à cheveux blonds et une chemise brune boire à partir d'une fontaine d'eau publique.,Un homme blond qui reçoit une boisson d'eau d'une fontaine dans le parc.
22,"A man with blond-hair, and a brown shirt drinking out of a public water fountain.",A blond man wearing a brown shirt is reading a book on a bench in the park,2,Un homme à cheveux blonds et une chemise brune boire à partir d'une fontaine d'eau publique.,Un homme blond portant une chemise brune lise un livre sur un banc dans le parc
23,"A man with blond-hair, and a brown shirt drinking out of a public water fountain.",A blond man drinking water from a fountain.,0,Un homme à cheveux blonds et une chemise brune boire à partir d'une fontaine d'eau publique.,Un homme blond d'eau potable d'une fontaine.
24,Two women who just had lunch hugging and saying goodbye.,The friends scowl at each other over a full dinner table.,2,Deux femmes qui venaient tout juste d'un déjeuner s'encouragèrent et se disent adolescentes.,Les amis se joignent l'un à l'autre sur un dîner complet.
25,Two women who just had lunch hugging and saying goodbye.,There are two woman in this picture.,0,Deux femmes qui venaient tout juste d'un déjeuner s'encouragèrent et se disent adolescentes.,Il y a deux femmes dans cette image.
26,Two women who just had lunch hugging and saying goodbye.,"The friends have just met for the first time in 20 years, and have had a great time catching up.",1,Deux femmes qui venaient tout juste d'un déjeuner s'encouragèrent et se disent adolescentes.,Les amis viennent de se réunir pour la première fois en 20 ans et ont eu un grand temps de rattraper le rattrapage.
27,"Two women, holding food carryout containers, hug.","The two sisters saw each other across the crowded diner and shared a hug, both clutching their doggie bags.",1,"Deux femmes, holding food carryout containers, hug.","Les deux surs se sont vus l'un l'autre à travers le diner surpeuplé et ont partagé une hugue, les deux portant leurs sacs de"
28,"Two women, holding food carryout containers, hug.",Two groups of rival gang members flipped each other off.,2,"Deux femmes, holding food carryout containers, hug.",Deux groupes de membres de gangs rivals se sont renversés mutuellement.
29,"Two women, holding food carryout containers, hug.",Two women hug each other.,0,"Deux femmes, holding food carryout containers, hug.",Deux femmes s'encouragent mutuellement.
30,A Little League team tries to catch a runner sliding into a base in an afternoon game.,A team is trying to score the games winning out.,1,Une équipe de la Little League tente de tirer un coureur qui glisse dans une base dans un match de l'après-midi.,Une équipe essaie de marquer les jeux gagnants.
31,A Little League team tries to catch a runner sliding into a base in an afternoon game.,A team is trying to tag a runner out.,0,Une équipe de la Little League tente de tirer un coureur qui glisse dans une base dans un match de l'après-midi.,Une équipe essaie d'identifier un runner.
32,A Little League team tries to catch a runner sliding into a base in an afternoon game.,A team is playing baseball on Saturn.,2,Une équipe de la Little League tente de tirer un coureur qui glisse dans une base dans un match de l'après-midi.,Une équipe joue le baseball sur Saturne.
